 format: day,hour,value location:60_127 Start : 20150101 
 1, 0000, -9.400000 
 1, 0100, -8.500000 
 1, 0200, -7.800000 
 1, 0300, -6.600000 
 1, 0400, -6.100000 
 1, 0500, -5.300000 
 1, 0600, -4.200000 
 1, 0700, -4.500000 
 1, 0800, -5.600000 
 1, 0900, -6.600000 
 1, 1000, -7.100000 
 1, 1100, -7.600000 
 1, 1200, -8.200000 
 1, 1300, -8.400000 
 1, 1400, -8.500000 
 1, 1500, -8.600000 
 1, 1600, -8.500000 
 1, 1700, -8.400000 
 1, 1800, -8.500000 
 1, 1900, -8.400000 
 1, 2000, -8.300000 
 1, 2100, -8.200000 
 1, 2200, -8.700000 
 1, 2300, -8.800000 
 2, 0000, -7.500000 
 2, 0100, -6.600000 
 2, 0200, -5.200000 
 2, 0300, -3.700000 
 2, 0400, -3.300000 
 2, 0500, -2.700000 
 2, 0600, -2.100000 
 2, 0700, -1.900000 
 2, 0800, -3.000000 
 2, 0900, -4.100000 
 2, 1000, -4.600000 
 2, 1100, -5.100000 
 2, 1200, -5.600000 
 2, 1300, -6.100000 
 2, 1400, -6.500000 
 2, 1500, -7.200000 
 2, 1600, -8.000000 
 2, 1700, -8.100000 
 2, 1800, -8.300000 
 2, 1900, -8.800000 
 2, 2000, -9.100000 
 2, 2100, -9.000000 
 2, 2200, -8.800000 
 2, 2300, -8.700000 
 3, 0000, -7.500000 
 3, 0100, -5.400000 
 3, 0200, -2.900000 
 3, 0300, -1.300000 
 3, 0400, 0.000000 
 3, 0500, 1.600000 
 3, 0600, 2.200000 
 3, 0700, 2.400000 
 3, 0800, 1.300000 
 3, 0900, 1.000000 
 3, 1000, 1.000000 
 3, 1100, 1.100000 
 3, 1200, 1.000000 
 3, 1300, 0.900000 
 3, 1400, 0.700000 
 3, 1500, 0.700000 
 3, 1600, 0.900000 
 3, 1700, 0.900000 
 3, 1800, 0.500000 
 3, 1900, 0.300000 
 3, 2000, 0.300000 
 3, 2100, 0.200000 
 3, 2200, 0.300000 
 3, 2300, 0.400000 
 4, 0000, 0.600000 
 4, 0100, 1.300000 
 4, 0200, 2.500000 
 4, 0300, 3.400000 
 4, 0400, 4.200000 
 4, 0500, 5.600000 
 4, 0600, 8.200000 
 4, 0700, 8.200000 
 4, 0800, 6.600000 
 4, 0900, 4.900000 
 4, 1000, 3.900000 
 4, 1100, 2.900000 
 4, 1200, 2.200000 
 4, 1300, 1.300000 
 4, 1400, 0.600000 
 4, 1500, 0.300000 
 4, 1600, -0.200000 
 4, 1700, -0.400000 
 4, 1800, -0.600000 
 4, 1900, -0.800000 
 4, 2000, -0.800000 
 4, 2100, -0.400000 
 4, 2200, -0.100000 
 4, 2300, 0.000000 
 5, 0000, 0.600000 
 5, 0100, 2.300000 
 5, 0200, 4.200000 
 5, 0300, 6.000000 
 5, 0400, 6.200000 
 5, 0500, 7.400000 
 5, 0600, 7.900000 
 5, 0700, 7.500000 
 5, 0800, 7.000000 
 5, 0900, 6.300000 
 5, 1000, 6.100000 
 5, 1100, 6.000000 
 5, 1200, 6.000000 
 5, 1300, 5.800000 
 5, 1400, 5.100000 
 5, 1500, 4.100000 
 5, 1600, 3.100000 
 5, 1700, 2.400000 
 5, 1800, 1.700000 
 5, 1900, 1.400000 
 5, 2000, 0.900000 
 5, 2100, 0.000000 
 5, 2200, -1.700000 
 5, 2300, -3.200000 
 6, 0000, -3.900000 
 6, 0100, -3.600000 
 6, 0200, -2.900000 
 6, 0300, -2.800000 
 6, 0400, -1.900000 
 6, 0500, -1.400000 
 6, 0600, -1.400000 
 6, 0700, -1.400000 
 6, 0800, -2.900000 
 6, 0900, -4.400000 
 6, 1000, -5.300000 
 6, 1100, -6.100000 
 6, 1200, -6.600000 
 6, 1300, -7.100000 
 6, 1400, -7.300000 
 6, 1500, -7.500000 
 6, 1600, -7.700000 
 6, 1700, -8.200000 
 6, 1800, -8.600000 
 6, 1900, -8.400000 
 6, 2000, -8.400000 
 6, 2100, -8.300000 
 6, 2200, -8.700000 
 6, 2300, -8.500000 
 7, 0000, -7.700000 
 7, 0100, -6.300000 
 7, 0200, -5.100000 
 7, 0300, -3.200000 
 7, 0400, -2.100000 
 7, 0500, -1.800000 
 7, 0600, -0.900000 
 7, 0700, -1.000000 
 7, 0800, -2.200000 
 7, 0900, -3.400000 
 7, 1000, -3.800000 
 7, 1100, -4.200000 
 7, 1200, -4.600000 
 7, 1300, -5.100000 
 7, 1400, -6.100000 
 7, 1500, -6.300000 
 7, 1600, -6.800000 
 7, 1700, -7.500000 
 7, 1800, -7.900000 
 7, 1900, -8.100000 
 7, 2000, -8.600000 
 7, 2100, -8.500000 
 7, 2200, -9.100000 
 7, 2300, -9.100000 
 8, 0000, -8.100000 
 8, 0100, -5.700000 
 8, 0200, -5.100000 
 8, 0300, -3.300000 
 8, 0400, -1.900000 
 8, 0500, -1.400000 
 8, 0600, -0.100000 
 8, 0700, -0.600000 
 8, 0800, -1.200000 
 8, 0900, -2.700000 
 8, 1000, -3.300000 
 8, 1100, -4.000000 
 8, 1200, -4.100000 
 8, 1300, -4.600000 
 8, 1400, -4.700000 
 8, 1500, -5.200000 
 8, 1600, -4.900000 
 8, 1700, -5.000000 
 8, 1800, -5.300000 
 8, 1900, -5.700000 
 8, 2000, -6.000000 
 8, 2100, -6.100000 
 8, 2200, -6.400000 
 8, 2300, -6.700000 
 9, 0000, -5.800000 
 9, 0100, -4.000000 
 9, 0200, -1.200000 
 9, 0300, 0.900000 
 9, 0400, 1.300000 
 9, 0500, 3.100000 
 9, 0600, 3.200000 
 9, 0700, 3.200000 
 9, 0800, 2.000000 
 9, 0900, 0.800000 
 9, 1000, 0.000000 
 9, 1100, -0.600000 
 9, 1200, -1.200000 
 9, 1300, -1.300000 
 9, 1400, -1.600000 
 9, 1500, -2.500000 
 9, 1600, -3.100000 
 9, 1700, -3.700000 
 9, 1800, -3.900000 
 9, 1900, -4.500000 
